url;alias;spf_record
sportoviste-nyrsko.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
janovice.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
divadloklatovy.cz;E-mail Pro (81);v=spf1 a mx a:mail1.colosseum.eu include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com ip4:185.64.219.200 -all
muzeumsumavy.cz;E-mail Pro (81);v=spf1 mx ~all
ambulance-klatovy.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
penzionfiala.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
beharov.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
alpskavyhlidka.cz;E-mail Pro (81);v=spf1 a include:spf.protection.outlook.com include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
mestosusice.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
udolipodostrym.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
chatasumava.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
advokat-sojka.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
obecsveradice.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
equilibris.cz;E-mail Pro (81);v=spf1 include:spf-zoner-zmail.zoner.com -all
veragloria.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
timepartners.cz;E-mail Pro (81);v=spf1 include:spf-zoner-zmail.zoner.com -all
rybnik-ceskyles.cz;E-mail Pro (81);v=spf1 include:spf-zoner-zmail.zoner.com ip4:217.198.115.28 -all
skolavltavice.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
obec-rybnik.cz;E-mail Pro (81);v=spf1 include:spf-zoner-zmail.zoner.com -all
zsdlouhaves.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
apartmany-sumava.eu;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
mammocentrum.eu;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
foxklatovy.eu;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
cachrov.info;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
sumava.net;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
kvilda.org;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
sumavanet.com;ManagedHosting Windows (657);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
klatovynet.cz;ManagedHosting Windows (657);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
simacek-stavby.cz;ManagedHosting Windows (657);No SPF record found
dynaweb.cz;ManagedHosting Windows (657);v=spf1 a mx a:sumavanet-1.zarea.net include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
klatovyinfo.cz;ManagedHosting Windows (657);No TXT records
zsnyrskokom.cz;ManagedHosting Windows (657);v=spf1 include:spf.protection.outlook.com -all
voltori.cz;ManagedHosting Windows (657);No TXT records
lic.cz;ManagedHosting Windows (657);No TXT records
mraz.in;ManagedHosting Windows (657);No TXT records
nyrsko.net;ManagedHosting Windows (657);No SPF record found
rada.susicenet.cz;ManagedHosting Windows NoMail (659);No TXT records
nsn.nyrsko.net;ManagedHosting Windows NoMail (659);No TXT records
fdh.sumavanet.cz;Alias (50);No TXT records
apartmany-modrava.cz;Alias (50);No TXT records
kskreal.cz;Alias (50);No TXT records
klatovy.net;Alias (50);No TXT records
